timestamp,client_id,round,round_start,round_end,round_duration_s
2026-07-28T23:33:20.838,10.42.0.1,1,1785295911.859652,1785296000.8382485,88.97859644889832
2026-07-28T23:33:20.860,10.42.0.18,1,1785295994.2224026,1785296000.8601875,6.637784957885742
2026-07-28T23:33:20.864,10.42.0.47,1,1785295987.5298605,1785296000.8640704,13.33420991897583
2026-07-28T23:33:20.867,10.42.0.59,1,1785295911.8203006,1785296000.8675354,89.04723477363586
2026-07-28T23:33:20.870,10.42.0.145,1,1785295942.2628708,1785296000.8709888,58.60811805725098
2026-07-28T23:33:20.873,10.42.0.210,1,1785295930.9851513,1785296000.8737466,69.88859534263611
2026-07-28T23:33:24.915,10.42.0.1,2,1785296000.8382485,1785296004.9151194,4.076870918273926
2026-07-28T23:33:24.945,10.42.0.47,2,1785296000.8640704,1785296004.945456,4.081385612487793
2026-07-28T23:33:24.950,10.42.0.210,2,1785296000.8737466,1785296004.9509218,4.077175140380859
2026-07-28T23:33:24.952,10.42.0.18,2,1785296000.8601875,1785296004.9528081,4.092620611190796
2026-07-28T23:33:27.000,10.42.0.1,3,1785296004.9151194,1785296007.000117,2.0849976539611816
2026-07-28T23:33:27.020,10.42.0.145,2,1785296000.8709888,1785296007.0207906,6.149801731109619
2026-07-28T23:33:27.040,10.42.0.210,3,1785296004.9509218,1785296007.0406168,2.0896949768066406
2026-07-28T23:33:27.053,10.42.0.47,3,1785296004.945456,1785296007.0539217,2.1084656715393066
2026-07-28T23:33:27.068,10.42.0.18,3,1785296004.9528081,1785296007.0685284,2.115720272064209
2026-07-28T23:33:34.633,10.42.0.1,4,1785296007.000117,1785296014.6332705,7.633153438568115
2026-07-28T23:33:34.662,10.42.0.47,4,1785296007.0539217,1785296014.6623113,7.608389616012573
2026-07-28T23:33:34.667,10.42.0.59,2,1785296000.8675354,1785296014.667109,13.79957365989685
2026-07-28T23:33:34.669,10.42.0.145,3,1785296007.0207906,1785296014.6693926,7.64860200881958
2026-07-28T23:33:34.671,10.42.0.18,4,1785296007.0685284,1785296014.671874,7.603345632553101
2026-07-28T23:33:34.693,10.42.0.210,4,1785296007.0406168,1785296014.693029,7.652412176132202
2026-07-28T23:33:37.413,10.42.0.1,5,1785296014.6332705,1785296017.413439,2.7801685333251953
2026-07-28T23:33:37.440,10.42.0.18,5,1785296014.671874,1785296017.4408352,2.768961191177368
2026-07-28T23:33:37.445,10.42.0.145,4,1785296014.6693926,1785296017.4453197,2.7759270668029785
2026-07-28T23:33:37.456,10.42.0.59,3,1785296014.667109,1785296017.4569972,2.7898881435394287
2026-07-28T23:33:37.462,10.42.0.210,5,1785296014.693029,1785296017.462155,2.7691261768341064
2026-07-28T23:33:37.487,10.42.0.47,5,1785296014.6623113,1785296017.487266,2.8249547481536865
2026-07-28T23:33:40.785,10.42.0.1,6,1785296017.413439,1785296020.7851863,3.3717472553253174
2026-07-28T23:33:40.823,10.42.0.47,6,1785296017.487266,1785296020.8234284,3.3361623287200928
2026-07-28T23:33:40.824,10.42.0.145,5,1785296017.4453197,1785296020.8246956,3.37937593460083
2026-07-28T23:33:40.826,10.42.0.210,6,1785296017.462155,1785296020.826334,3.3641788959503174
2026-07-28T23:33:40.841,10.42.0.18,6,1785296017.4408352,1785296020.841964,3.4011287689208984
2026-07-28T23:33:45.918,10.42.0.1,7,1785296020.7851863,1785296025.918021,5.1328346729278564
2026-07-28T23:33:45.940,10.42.0.47,7,1785296020.8234284,1785296025.940948,5.1175196170806885
