bundle_id,client_ip,round,upload_start_s,upload_end_s,upload_duration_s,triggered_inside,trigger_count_inside,first_trigger_s,trigger_latency_s,ground_truth_quality
bundle_0575,10.42.0.47,1,1785014448.444232,1785014448.5445373,0.10030531883239746,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,2,1785014456.8079908,1785014456.9085202,0.10052943229675293,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,3,1785014463.4849536,1785014463.585143,0.1001894474029541,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,4,1785014472.9710536,1785014473.0714295,0.10037589073181152,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,5,1785014483.4755404,1785014483.5760398,0.10049939155578613,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,6,1785014491.8904328,1785014491.9907508,0.10031795501708984,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,7,1785014501.675496,1785014501.775794,0.10029792785644531,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,8,1785014508.5673769,1785014508.6676755,0.10029864311218262,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,9,1785014516.0557923,1785014516.1559784,0.10018610954284668,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,10,1785014523.343607,1785014523.4439275,0.10032057762145996,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,11,1785014532.9138284,1785014533.014011,0.10018253326416016,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,12,1785014539.6045628,1785014539.7048635,0.10030078887939453,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,13,1785014547.777531,1785014547.8778727,0.100341796875,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,14,1785014556.9614494,1785014557.061864,0.10041451454162598,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,15,1785014564.146706,1785014564.2472806,0.10057449340820312,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,16,1785014573.464157,1785014573.5647335,0.10057640075683594,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,17,1785014581.9698734,1785014582.070122,0.10024857521057129,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,18,1785014592.09094,1785014592.191104,0.10016393661499023,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,19,1785014601.801701,1785014601.9019136,0.10021257400512695,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,20,1785014609.011911,1785014609.112092,0.10018110275268555,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,21,1785014617.318009,1785014617.4185607,0.10055184364318848,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,22,1785014626.8653908,1785014626.9656198,0.10022902488708496,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,23,1785014633.6789553,1785014633.77925,0.10029458999633789,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,24,1785014642.8397348,1785014642.9399872,0.10025238990783691,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,25,1785014651.2408936,1785014651.3410752,0.10018157958984375,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,26,1785014656.9480822,1785014657.0483098,0.10022759437561035,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,27,1785014666.2637146,1785014666.363943,0.10022854804992676,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,28,1785014672.2775846,1785014672.3778095,0.10022497177124023,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,29,1785014680.422357,1785014680.5226526,0.1002955436706543,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,30,1785014691.3614352,1785014691.4616563,0.10022115707397461,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,31,1785014698.8367093,1785014698.9369397,0.10023045539855957,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,32,1785014706.3784854,1785014706.4787812,0.1002957820892334,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,33,1785014713.8283038,1785014713.9285295,0.10022568702697754,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,34,1785014723.2751622,1785014723.3755517,0.10038948059082031,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,35,1785014731.5730567,1785014731.673357,0.10030031204223633,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,36,1785014740.5153248,1785014740.6156957,0.10037088394165039,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,37,1785014747.8606107,1785014747.960855,0.10024428367614746,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,38,1785014756.958031,1785014757.0583327,0.10030174255371094,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,39,1785014764.1871505,1785014764.2874465,0.1002960205078125,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,40,1785014772.0070148,1785014772.1073172,0.10030245780944824,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,41,1785014782.6393049,1785014782.739611,0.10030603408813477,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,42,1785014790.2890203,1785014790.3892322,0.10021185874938965,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,43,1785014799.0248046,1785014799.1249886,0.10018396377563477,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,44,1785014806.2541437,1785014806.354327,0.10018324851989746,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,45,1785014814.23852,1785014814.33871,0.1001901626586914,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,46,1785014822.4632385,1785014822.563541,0.10030245780944824,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,47,1785014831.9455285,1785014832.0458295,0.10030102729797363,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,48,1785014839.348297,1785014839.4485998,0.10030269622802734,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,49,1785014847.8306754,1785014847.9308906,0.10021519660949707,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,50,1785014855.5838768,1785014855.6840582,0.10018134117126465,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,51,1785014862.7189388,1785014862.819229,0.10029006004333496,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,52,1785014871.297684,1785014871.3979287,0.10024476051330566,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,53,1785014880.6959865,1785014880.796285,0.10029840469360352,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,54,1785014890.5801003,1785014890.6803997,0.10029935836791992,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,55,1785014899.1915865,1785014899.292046,0.10045957565307617,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,56,1785014908.31682,1785014908.4170082,0.1001882553100586,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,57,1785014915.1195369,1785014915.2198417,0.10030484199523926,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,58,1785014924.217764,1785014924.3179312,0.10016727447509766,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,59,1785014931.1513546,1785014931.251668,0.10031342506408691,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,60,1785014940.078791,1785014940.178969,0.10017800331115723,False,0,,,client_serialization_interval_only
