timestamp,client_id,round,round_start,round_end,round_duration_s
2026-07-29T11:56:34.703,10.42.0.1,1,1785340329.5132766,1785340594.7034945,265.19021797180176
2026-07-29T11:56:34.752,10.42.0.18,1,1785340586.342217,1785340594.752789,8.410572052001953
2026-07-29T11:56:34.759,10.42.0.59,1,1785340329.4197514,1785340594.7592704,265.33951902389526
2026-07-29T11:56:34.761,10.42.0.210,1,1785340461.813651,1785340594.7619207,132.9482696056366
2026-07-29T11:56:34.773,10.42.0.145,1,1785340494.1696415,1785340594.773352,100.60371041297913
2026-07-29T11:56:34.814,10.42.0.47,1,1785340529.7388337,1785340594.8143802,65.07554650306702
2026-07-29T11:56:40.920,10.42.0.1,2,1785340594.7034945,1785340600.9203322,6.216837644577026
2026-07-29T11:56:40.945,10.42.0.47,2,1785340594.8143802,1785340600.9452665,6.1308863162994385
2026-07-29T11:56:40.968,10.42.0.210,2,1785340594.7619207,1785340600.968378,6.2064573764801025
2026-07-29T11:56:40.991,10.42.0.18,2,1785340594.752789,1785340600.9916227,6.238833665847778
2026-07-29T11:56:41.000,10.42.0.59,2,1785340594.7592704,1785340601.000051,6.240780591964722
2026-07-29T11:56:41.178,10.42.0.145,2,1785340594.773352,1785340601.1785,6.405148029327393
2026-07-29T11:56:47.677,10.42.0.1,3,1785340600.9203322,1785340607.677587,6.7572548389434814
2026-07-29T11:56:47.704,10.42.0.47,3,1785340600.9452665,1785340607.7040324,6.758765935897827
2026-07-29T11:56:47.723,10.42.0.145,3,1785340601.1785,1785340607.7239332,6.545433282852173
2026-07-29T11:56:47.728,10.42.0.59,3,1785340601.000051,1785340607.7288656,6.728814601898193
2026-07-29T11:56:47.737,10.42.0.210,3,1785340600.968378,1785340607.737631,6.7692530155181885
2026-07-29T11:56:47.745,10.42.0.18,3,1785340600.9916227,1785340607.7458386,6.754215955734253
2026-07-29T11:56:52.802,10.42.0.1,4,1785340607.677587,1785340612.8022616,5.124674558639526
2026-07-29T11:56:54.125,10.42.0.1,5,1785340612.8022616,1785340614.1257467,1.3234851360321045
2026-07-29T11:56:59.879,10.42.0.1,6,1785340614.1257467,1785340619.879758,5.754011154174805
2026-07-29T11:56:59.902,10.42.0.47,4,1785340607.7040324,1785340619.9022593,12.198226928710938
2026-07-29T11:56:59.922,10.42.0.145,4,1785340607.7239332,1785340619.9227617,12.19882845878601
2026-07-29T11:57:00.247,10.42.0.18,4,1785340607.7458386,1785340620.247558,12.50171947479248
2026-07-29T11:57:00.258,10.42.0.59,4,1785340607.7288656,1785340620.2587872,12.529921531677246
2026-07-29T11:57:01.340,10.42.0.210,4,1785340607.737631,1785340621.3409643,13.603333234786987
2026-07-29T11:57:06.483,10.42.0.1,7,1785340619.879758,1785340626.4834855,6.603727579116821
2026-07-29T11:57:06.534,10.42.0.210,5,1785340621.3409643,1785340626.534553,5.193588733673096
2026-07-29T11:57:06.550,10.42.0.18,5,1785340620.247558,1785340626.5506022,6.303044080734253
2026-07-29T11:57:06.559,10.42.0.47,5,1785340619.9022593,1785340626.5599499,6.657690525054932
2026-07-29T11:57:06.956,10.42.0.59,5,1785340620.2587872,1785340626.9561465,6.697359323501587
2026-07-29T11:57:06.959,10.42.0.145,5,1785340619.9227617,1785340626.9593759,7.036614179611206
2026-07-29T11:57:12.531,10.42.0.1,8,1785340626.4834855,1785340632.5313601,6.047874689102173
2026-07-29T11:57:12.564,10.42.0.47,6,1785340626.5599499,1785340632.564872,6.004922151565552
2026-07-29T11:57:12.606,10.42.0.145,6,1785340626.9593759,1785340632.6061778,5.646801948547363
2026-07-29T11:57:12.849,10.42.0.18,6,1785340626.5506022,1785340632.8494585,6.298856258392334
2026-07-29T11:57:12.852,10.42.0.59,6,1785340626.9561465,1785340632.852294,5.8961474895477295
2026-07-29T11:57:13.717,10.42.0.210,6,1785340626.534553,1785340633.7177303,7.18317723274231
2026-07-29T11:57:19.212,10.42.0.1,9,1785340632.5313601,1785340639.2125795,6.6812193393707275
2026-07-29T11:57:19.246,10.42.0.47,7,1785340632.564872,1785340639.2461324,6.681260347366333
2026-07-29T11:57:19.285,10.42.0.18,7,1785340632.8494585,1785340639.2854056,6.4359471797943115
2026-07-29T11:57:19.308,10.42.0.145,7,1785340632.6061778,1785340639.3088572,6.702679395675659
2026-07-29T11:57:19.317,10.42.0.59,7,1785340632.852294,1785340639.3177452,6.465451240539551
2026-07-29T11:57:19.929,10.42.0.210,7,1785340633.7177303,1785340639.9292357,6.21150541305542
2026-07-29T11:57:25.940,10.42.0.1,10,1785340639.2125795,1785340645.9408734,6.7282938957214355
2026-07-29T11:57:26.020,10.42.0.18,8,1785340639.2854056,1785340646.0203826,6.7349770069122314
2026-07-29T11:57:26.039,10.42.0.145,8,1785340639.3088572,1785340646.03962,6.730762720108032
2026-07-29T11:57:26.047,10.42.0.210,8,1785340639.9292357,1785340646.0478144,6.118578672409058
2026-07-29T11:57:26.054,10.42.0.47,8,1785340639.2461324,1785340646.054859,6.80872654914856
2026-07-29T11:57:26.139,10.42.0.59,8,1785340639.3177452,1785340646.1391745,6.821429252624512
2026-07-29T11:57:29.745,10.42.0.1,11,1785340645.9408734,1785340649.7450547,3.8041813373565674
2026-07-29T11:57:29.817,10.42.0.1,12,1785340649.7450547,1785340649.8172808,0.07222604751586914
2026-07-29T11:57:31.002,10.42.0.1,13,1785340649.8172808,1785340651.0029604,1.1856796741485596
2026-07-29T11:57:35.152,10.42.0.1,14,1785340651.0029604,1785340655.152517,4.149556636810303
2026-07-29T11:57:35.184,10.42.0.47,9,1785340646.054859,1785340655.1842675,9.129408597946167
2026-07-29T11:57:35.192,10.42.0.145,9,1785340646.03962,1785340655.1922135,9.152593612670898
2026-07-29T11:57:35.743,10.42.0.18,9,1785340646.0203826,1785340655.7435303,9.723147630691528
2026-07-29T11:57:35.744,10.42.0.210,9,1785340646.0478144,1785340655.7449083,9.697093963623047
2026-07-29T11:57:36.036,10.42.0.59,9,1785340646.1391745,1785340656.0365324,9.897357940673828
2026-07-29T11:57:41.909,10.42.0.1,15,1785340655.152517,1785340661.9093204,6.756803274154663
2026-07-29T11:57:41.936,10.42.0.47,10,1785340655.1842675,1785340661.936659,6.752391576766968
2026-07-29T11:57:41.998,10.42.0.18,10,1785340655.7435303,1785340661.998353,6.254822731018066
2026-07-29T11:57:42.009,10.42.0.145,10,1785340655.1922135,1785340662.0093439,6.8171303272247314
