track,condition,experiment,round_quality,seq_quality,n_rounds,phase_idle_duration_mean_s,phase_download_duration_mean_s,phase_training_duration_mean_s,phase_upload_duration_mean_s,download_precision,download_recall,download_f1,training_precision,training_recall,training_f1,upload_precision,upload_recall,upload_f1,_n_classified,decision_lag_mean_ms
Autoencoder,baseline,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/baseline/krum/exp2,1.0,1.0,500,11.22151748339335,2.9835325202941894,0.06984206771850582,6.027586913108825,0.2920863309352518,0.812,0.42962962962962964,0.3333333333333333,0.016,0.030534351145038167,0.0,0.0,0.0,1500,
Autoencoder,baseline,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/baseline/median/exp1,1.0,1.0,500,10.044478511810302,3.1901883068084715,0.035892932891845655,5.611706820487976,0.29252669039145907,0.822,0.431496062992126,0.3333333333333333,0.006,0.011787819253438114,0.0,0.0,0.0,1500,
Autoencoder,baseline,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/baseline/median/exp2,1.0,1.0,500,7.073966312408447,2.6633030228614807,1.021735625743866,8.059494767665862,0.2892561983471074,0.7,0.4093567251461988,0.35175879396984927,0.14,0.20028612303290416,0.0,0.0,0.0,1500,
Autoencoder,baseline,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/baseline/multi-krum/exp1,1.0,1.0,500,49.245349645614624,2.928675750255585,1.248342249393463,8.314816452980041,0.28989139515455303,0.694,0.40895698291101945,0.35046728971962615,0.15,0.21008403361344538,0.0,0.0,0.0,1500,
Autoencoder,baseline,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/baseline/trimmed_mean/exp1,1.0,1.0,500,4.96638059616089,2.976282371520996,0.025056654453277535,5.9699278473854065,0.2921108742004264,0.822,0.43104352385946515,0.3333333333333333,0.004,0.007905138339920948,0.0,0.0,0.0,1500,
Autoencoder,baseline,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/baseline/trimmed_mean/exp2,1.0,1.0,500,7.175998735427856,3.6064532737731936,0.14616091775894163,6.288520438671112,0.3333333333333333,0.4,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,1500,587.36324486
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/fedavg/min_max/exp1,0.99,0.99,500,11.322985982894897,1.5841286259158036,0.29630406185894664,6.2576978815873145,0.32842582106455265,0.58,0.4193781634128706,0.3643410852713178,0.094,0.1494435612082671,0.0,0.0,0.0,1500,407.84806521818183
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/fedavg/min_sum/exp1,0.992,0.992,500,16.4244282245636,1.6377716381703653,0.27998211451115146,6.152868284333136,0.35208333333333336,0.676,0.46301369863013697,0.33043478260869563,0.076,0.12357723577235773,0.0,0.0,0.0,1500,
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/fedavg/noise/exp1,0.996,0.996,500,16.43551712036133,1.4597700073058346,0.26961937630511673,5.934421697773608,0.3256578947368421,0.792,0.46153846153846156,0.3181818181818182,0.084,0.13291139240506328,0.0,0.0,0.0,1500,384.5652546787149
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/fedavg/scale/exp1,0.9959839357429718,0.9959839357429718,498,9.43308882713318,1.7007687741625523,0.3667090947260121,6.380911198789945,0.3441502988898377,0.8092369477911646,0.4829239065308568,0.30597014925373134,0.0823293172690763,0.12974683544303797,0.0,0.0,0.0,1494,383.24636805241937
