bundle_id,condition,round,source,global_accuracy,global_macro_f1,global_loss,aggregation_duration_s,evaluation_duration_s,phase_duration_s,accuracy,f1_score,loss,fit_duration_s,train_duration_s
bundle_0002,flame_blind,1,server,0.3661350525958602,0.3054960960184892,1.7626110759071063,0.0035562515258789,0.2233755588531494,0.2516260147094726,,,,,
bundle_0002,flame_blind,2,server,0.3498473023413641,0.2033762802331518,1.602059148471963,0.0056953430175781,0.2397253513336181,0.268294095993042,,,,,
bundle_0002,flame_blind,3,server,0.3440787241262301,0.2137796019562046,1.456503379777767,0.0026566982269287,0.2527694702148437,0.2780697345733642,,,,,
bundle_0002,flame_blind,4,server,0.339328130302002,0.2142991527565845,1.4251162526079222,0.0024409294128417,0.2643604278564453,0.2895803451538086,,,,,
bundle_0002,flame_blind,5,server,0.3831014591109603,0.2709118657611851,1.430240647931159,0.0030055046081542,0.2449429035186767,0.2704148292541504,,,,,
bundle_0002,flame_blind,6,server,0.4234815066168985,0.3129253726064075,1.4099712701906866,0.0045146942138671,0.2450690269470214,0.2705786228179931,,,,,
bundle_0002,flame_blind,7,server,0.4129623345775365,0.3072841480030429,1.399072129968307,0.0028324127197265,0.255936861038208,0.2812364101409912,,,,,
bundle_0002,flame_blind,8,server,0.4139803189684425,0.3169013789135544,1.3502849401519952,0.0041902065277099,0.3252742290496826,0.3512370586395263,,,,,
bundle_0002,flame_blind,9,server,0.3980318968442484,0.302094894577772,1.440613978670377,0.0035703182220458,0.2538297176361084,0.2796647548675537,,,,,
bundle_0002,flame_blind,10,server,0.3576518493383101,0.2695279759958926,1.4862788122388764,0.0028293132781982,0.2392868995666504,0.2639069557189941,,,,,
bundle_0002,flame_blind,11,server,0.3637597556837462,0.2757233329366855,1.4479114492343246,0.0068511962890625,0.2561538219451904,0.284229040145874,,,,,
bundle_0002,flame_blind,12,server,0.3942992874109263,0.2999829380051124,1.460183341987747,0.0031800270080566,0.253502607345581,0.2789003849029541,,,,,
bundle_0002,flame_blind,13,server,0.4221241940956905,0.3125836034760233,1.5727275049722838,0.0028412342071533,0.3206548690795898,0.344531774520874,,,,,
bundle_0002,flame_blind,14,server,0.3939599592806244,0.3034813158938507,1.3723197033496723,0.0037028789520263,0.2519950866699219,0.278087854385376,,,,,
bundle_0002,flame_blind,15,server,0.3552765524261961,0.2563800785821004,2.111655466670621,0.0023813247680664,0.2425441741943359,0.2667512893676758,,,,,
bundle_0002,flame_blind,16,server,0.4054971157108924,0.3187875164733549,1.4985759878789606,0.0027153491973876,0.2586450576782226,0.2827911376953125,,,,,
bundle_0002,flame_blind,17,server,0.4007465218866644,0.3262305826565129,1.4494320106053296,0.002288818359375,0.280574083328247,0.3053548336029053,,,,,
bundle_0002,flame_blind,18,server,0.3617237869019342,0.2852733342789164,1.528381534054759,0.0022468566894531,0.2631170749664306,0.2872416973114013,,,,,
bundle_0002,flame_blind,19,server,0.4241601628775025,0.3529004378831988,1.4951235095160995,0.0023179054260253,0.2462275028228759,0.2713813781738281,,,,,
bundle_0002,flame_blind,20,server,0.4102477095351204,0.3339729176439165,1.519206005312606,0.0070869922637939,0.2556178569793701,0.2852101325988769,,,,,
bundle_0002,flame_blind,21,server,0.4051577875805904,0.3626714702607171,1.6373597951836614,0.0031557083129882,0.2499735355377197,0.2750227451324463,,,,,
bundle_0002,flame_blind,22,server,0.4635222259925348,0.4074193036039915,1.444200027098201,0.0023088455200195,0.2810907363891601,0.3059892654418945,,,,,
bundle_0002,flame_blind,23,server,0.4499491007804547,0.3907974434053625,1.434805272998428,0.0023317337036132,0.3104283809661865,0.3352229595184326,,,,,
bundle_0002,flame_blind,24,server,0.4604682728198168,0.3927896376291457,1.4694180263678502,0.0029540061950683,0.324815034866333,0.3493802547454834,,,,,
bundle_0002,flame_blind,25,server,0.4506277570410587,0.4188898000041308,1.422537263547278,0.0029635429382324,0.2530853748321533,0.2774014472961426,,,,,
bundle_0002,flame_blind,26,server,0.5184933831014591,0.4701035227491452,1.3382531804556277,0.0034728050231933,0.246722936630249,0.2726657390594482,,,,,
bundle_0002,flame_blind,27,server,0.4852392263318629,0.4475178196121448,1.3283118722719542,0.0024354457855224,0.2519371509552002,0.2762734889984131,,,,,
bundle_0002,flame_blind,28,server,0.4889718357651849,0.4545295244449086,1.2740964031963782,0.0029470920562744,0.2901043891906738,0.3254544734954834,,,,,
bundle_0002,flame_blind,29,server,0.5303698676620292,0.4842096937870339,1.260886936297771,0.0024681091308593,0.2629852294921875,0.2873871326446533,,,,,
bundle_0002,flame_blind,30,server,0.5347811333559552,0.4740027781922294,1.4659053619975029,0.0033602714538574,0.249786376953125,0.2749192714691162,,,,,
bundle_0002,flame_blind,31,server,0.498133695283339,0.4611436429165247,1.3181636798652827,0.0022230148315429,0.2898232936859131,0.3239998817443847,,,,,
bundle_0002,flame_blind,32,server,0.4832032575500509,0.4412058802360778,1.4435303127882964,0.0023977756500244,0.2524471282958984,0.2766170501708984,,,,,
