timestamp,experiment_id,run_id,client_ip,fl_round,targeted,selected_for_attack,modified,reconstruction_valid,finite_values_valid,wire_compatible,update_space_used,projected_to_genuine_norm_ratio,cosine_genuine_to_projected_update,distance_genuine_to_projected_update,genuine_update_near_zero_fraction,projected_update_near_zero_fraction,envelope_coordinate_containment_fraction,envelope_norm_containment_fraction,envelope_mean_direction_cosine,envelope_global_norm_contained,envelope_global_direction_cosine,rewrite_processing_duration_s
2026-07-23T20:41:19,exp_1784853257,run_1784853257,10.42.0.210,41,1,1,1,1,1,1,1,0.0386252786750437,0.4106345903220457,1.0201213281529316,0.0,0.0,0.0,0.0,0.9999999999491715,0.0,0.9999999999491715,0.008589
2026-07-23T20:41:22,exp_1784853257,run_1784853257,10.42.0.210,42,1,1,1,1,1,1,1,0.0488423083155088,0.3710994911818945,0.8572920832811567,0.0,5.104645227156713e-05,0.0,0.0,0.9999999999519072,0.0,0.9999999999519072,0.009041
2026-07-23T20:41:26,exp_1784853257,run_1784853257,10.42.0.210,43,1,1,1,1,1,1,1,0.1249535303816229,0.1469224099383987,0.925999045313107,0.0,0.0,0.0,0.0,0.999999999984668,0.0,0.999999999984668,0.009877
2026-07-23T20:41:31,exp_1784853257,run_1784853257,10.42.0.210,44,1,1,1,1,1,1,1,0.0157491213811439,-0.3579396950431933,0.9066031669816672,0.0,5.104645227156713e-05,0.0,0.0,-0.9999999998620632,0.0,-0.9999999998620632,0.008993
2026-07-23T20:41:34,exp_1784853257,run_1784853257,10.42.0.210,45,1,1,1,1,1,1,1,0.0161890274492171,-0.2860903741900915,0.8810967423944329,0.0,5.104645227156713e-05,0.0,0.0,-0.9999999998620632,0.0,-0.9999999998620632,0.008702
2026-07-23T20:41:39,exp_1784853257,run_1784853257,10.42.0.210,46,1,1,1,1,1,1,1,0.1201126926442504,-0.2141649565451972,0.8348440932035261,0.0,0.0,0.0,0.0,-0.99999999997635,0.0,-0.99999999997635,0.008956
2026-07-23T20:41:43,exp_1784853257,run_1784853257,10.42.0.210,47,1,1,1,1,1,1,1,0.0503640517123041,-0.145809218793205,0.7310880762382436,0.0,0.0,0.0,0.0,-0.9999999999387752,0.0,-0.9999999999387752,0.009911
2026-07-23T20:41:47,exp_1784853257,run_1784853257,10.42.0.210,48,1,1,1,1,1,1,1,0.0029644482523075,-0.1124435151870504,0.8615187764622478,0.0,0.0005615109749872,0.0,0.0,-0.999999999141518,0.0,-0.999999999141518,0.00865
2026-07-23T20:41:51,exp_1784853257,run_1784853257,10.42.0.210,49,1,1,1,1,1,1,1,0.0254281338638902,0.1945389162513865,1.0477655114843607,0.0,5.104645227156713e-05,0.0,0.0,0.9999999999357873,0.0,0.9999999999357873,0.013036
2026-07-23T20:41:55,exp_1784853257,run_1784853257,10.42.0.210,50,1,1,1,1,1,1,1,4.887217370880065e-05,-0.2638626618692223,0.7668299928848534,0.0,0.0379275140377743,0.0,0.0,-0.9999999446497472,0.0,-0.9999999446497472,0.008769
