timestamp,experiment_id,run_id,client_ip,fl_round,targeted,selected_for_attack,modified,reconstruction_valid,finite_values_valid,wire_compatible,update_space_used,projected_to_genuine_norm_ratio,cosine_genuine_to_projected_update,distance_genuine_to_projected_update,genuine_update_near_zero_fraction,projected_update_near_zero_fraction,envelope_coordinate_containment_fraction,envelope_norm_containment_fraction,envelope_mean_direction_cosine,envelope_global_norm_contained,envelope_global_direction_cosine,rewrite_processing_duration_s
2026-07-21T19:56:00,exp_1784677584,run_1784677584,10.42.0.210,21.0,1,1,1,1,1,1,1,0.5274498969346088,0.2404605089395502,0.8109968190698925,0.0,0.0,0.9989280245022972,1.0,0.9867241783155296,0.0,0.9712567572087676,0.01506
2026-07-21T19:56:02,exp_1784677584,run_1784677584,10.42.0.210,21.0,1,1,1,1,1,1,1,0.717017596103477,0.4366916394287248,0.5786934694268228,0.0,0.0,0.9969882593159776,0.6666666666666666,0.9573912595645584,0.0,0.9477027651994716,0.014656
2026-07-21T19:56:04,exp_1784677584,run_1784677584,10.42.0.210,23.0,1,1,1,1,1,1,1,0.5314552447837939,-0.2898014948140747,1.0886417617834785,0.0,0.0,0.9883614088820828,0.6666666666666666,0.9077008281975216,0.0,0.9049157764135956,0.014301
2026-07-21T19:56:06,exp_1784677584,run_1784677584,10.42.0.210,24.0,1,1,1,1,1,1,1,0.4787265863495219,-0.4238588653965343,1.4192032114397577,0.0,0.0,0.9565084226646248,0.5,0.8470857568870732,0.0,0.7995822791385345,0.015814
2026-07-21T19:56:08,exp_1784677584,run_1784677584,10.42.0.210,24.0,1,1,1,1,1,1,1,0.5923021151806812,-0.5537273176743275,1.2324345190989414,0.0,0.0,0.8902501276161306,0.5,0.7006434470069834,0.0,0.7279349088628657,0.014492
2026-07-21T19:56:10,exp_1784677584,run_1784677584,10.42.0.210,26.0,1,1,1,1,1,1,1,0.6726358644312109,-0.3485469492934461,1.1496333064492992,0.0,5.104645227156713e-05,0.8809596733027054,0.6666666666666666,0.6389562034528606,0.0,0.6118898307596267,0.013727
2026-07-21T19:56:12,exp_1784677584,run_1784677584,10.42.0.210,27.0,1,1,1,1,1,1,1,0.6387157008998752,-0.4357827265397882,1.0964239946849612,0.0,0.0,0.8975497702909648,1.0,0.5960187807973122,0.0,0.6563133063742693,0.013123
2026-07-21T19:56:14,exp_1784677584,run_1784677584,10.42.0.210,27.0,1,1,1,1,1,1,1,0.7206754224558201,-0.1456643821970625,1.061050550979301,0.0,0.0,0.8614599285349668,0.0,0.6422121308424379,0.0,0.6263511432812592,0.013683
2026-07-21T19:56:16,exp_1784677584,run_1784677584,10.42.0.210,28.0,1,1,1,1,1,1,1,0.6367725030446201,-0.5200495588943798,1.1256027553202188,0.0,0.0,0.9488514548238898,0.5,0.5851108562263193,0.0,0.6716397459593483,0.014213
2026-07-21T19:56:19,exp_1784677584,run_1784677584,10.42.0.210,30.0,1,1,1,1,1,1,1,0.652276992617463,-0.4876119496219431,1.0419559407944026,0.0,0.0,0.9078101071975496,0.8333333333333334,0.597558019907224,0.0,0.6308814155304903,0.0175
2026-07-21T19:56:21,exp_1784677584,run_1784677584,10.42.0.210,31.0,1,1,1,1,1,1,1,0.5561354354933985,-0.3881263959674093,1.1035965756031196,0.0,0.0,0.92312404287902,0.8333333333333334,0.5482374660501245,0.0,0.5414595574442855,0.019863
2026-07-21T19:56:23,exp_1784677584,run_1784677584,10.42.0.210,32.0,1,1,1,1,1,1,1,0.5775255206720648,-0.403945422746754,1.1448518590436414,0.0,0.0,0.907299642674834,0.6666666666666666,0.603940657855648,0.0,0.5984966786457221,0.013816
