timestamp,client_id,round,round_start,round_end,round_duration_s
2026-07-28T21:22:07.984,10.42.0.1,1,1785288106.3649697,1785288127.9843812,21.61941146850586
2026-07-28T21:22:08.012,10.42.0.59,1,1785288119.3265116,1785288128.0122347,8.685723066329956
2026-07-28T21:22:08.018,10.42.0.145,1,1785288106.3174229,1785288128.0186007,21.701177835464478
2026-07-28T21:22:08.023,10.42.0.210,1,1785288106.973924,1785288128.023611,21.049687147140503
2026-07-28T21:22:08.026,10.42.0.18,1,1785288113.6399539,1785288128.026125,14.386171102523804
2026-07-28T21:22:08.059,10.42.0.47,1,1785288109.190469,1785288128.059471,18.869001865386963
2026-07-28T21:22:10.855,10.42.0.1,2,1785288127.9843812,1785288130.8557622,2.8713810443878174
2026-07-28T21:22:10.898,10.42.0.210,2,1785288128.023611,1785288130.8986924,2.8750813007354736
2026-07-28T21:22:10.907,10.42.0.59,2,1785288128.0122347,1785288130.9071352,2.8949005603790283
2026-07-28T21:22:10.912,10.42.0.145,2,1785288128.0186007,1785288130.9125907,2.8939900398254395
2026-07-28T21:22:10.916,10.42.0.47,2,1785288128.059471,1785288130.9162798,2.85680890083313
2026-07-28T21:22:10.941,10.42.0.18,2,1785288128.026125,1785288130.941948,2.915822982788086
2026-07-28T21:22:13.228,10.42.0.1,3,1785288130.8557622,1785288133.2284665,2.372704267501831
2026-07-28T21:22:13.251,10.42.0.47,3,1785288130.9162798,1785288133.251742,2.3354620933532715
2026-07-28T21:22:13.254,10.42.0.210,3,1785288130.8986924,1785288133.254069,2.355376720428467
2026-07-28T21:22:13.256,10.42.0.18,3,1785288130.941948,1785288133.256384,2.3144359588623047
2026-07-28T21:22:13.261,10.42.0.145,3,1785288130.9125907,1785288133.2619014,2.3493106365203857
2026-07-28T21:22:13.274,10.42.0.59,3,1785288130.9071352,1785288133.274047,2.3669116497039795
2026-07-28T21:22:15.450,10.42.0.1,4,1785288133.2284665,1785288135.4500504,2.221583843231201
2026-07-28T21:22:15.492,10.42.0.210,4,1785288133.254069,1785288135.492071,2.238001823425293
2026-07-28T21:22:15.513,10.42.0.18,4,1785288133.256384,1785288135.5135458,2.257161855697632
2026-07-28T21:22:15.551,10.42.0.47,4,1785288133.251742,1785288135.551716,2.299974203109741
2026-07-28T21:22:17.727,10.42.0.1,5,1785288135.4500504,1785288137.7276702,2.2776198387145996
2026-07-28T21:22:17.758,10.42.0.210,5,1785288135.492071,1785288137.7583542,2.2662832736968994
2026-07-28T21:22:17.765,10.42.0.18,5,1785288135.5135458,1785288137.7659738,2.2524280548095703
2026-07-28T21:22:17.793,10.42.0.47,5,1785288135.551716,1785288137.793191,2.2414748668670654
2026-07-28T21:22:21.184,10.42.0.1,6,1785288137.7276702,1785288141.1849833,3.457313060760498
2026-07-28T21:22:21.212,10.42.0.47,6,1785288137.793191,1785288141.212964,3.4197731018066406
2026-07-28T21:22:21.226,10.42.0.18,6,1785288137.7659738,1785288141.2262003,3.460226535797119
2026-07-28T21:22:21.232,10.42.0.59,4,1785288133.274047,1785288141.2320666,7.958019733428955
2026-07-28T21:22:21.235,10.42.0.210,6,1785288137.7583542,1785288141.235695,3.4773406982421875
2026-07-28T21:22:21.244,10.42.0.145,4,1785288133.2619014,1785288141.2441874,7.982285976409912
2026-07-28T21:22:23.753,10.42.0.1,7,1785288141.1849833,1785288143.753023,2.568039655685425
2026-07-28T21:22:23.772,10.42.0.47,7,1785288141.212964,1785288143.7722418,2.5592777729034424
2026-07-28T21:22:23.795,10.42.0.18,7,1785288141.2262003,1785288143.79506,2.568859577178955
2026-07-28T21:22:23.799,10.42.0.210,7,1785288141.235695,1785288143.7999017,2.564206838607788
2026-07-28T21:22:26.100,10.42.0.1,8,1785288143.753023,1785288146.1005414,2.3475184440612793
2026-07-28T21:22:26.129,10.42.0.59,5,1785288141.2320666,1785288146.1292403,4.897173643112183
2026-07-28T21:22:26.132,10.42.0.47,8,1785288143.7722418,1785288146.1320262,2.3597843647003174
2026-07-28T21:22:26.135,10.42.0.18,8,1785288143.79506,1785288146.1359282,2.3408682346343994
2026-07-28T21:22:26.150,10.42.0.210,8,1785288143.7999017,1785288146.1505127,2.3506109714508057
2026-07-28T21:22:26.158,10.42.0.145,5,1785288141.2441874,1785288146.1586752,4.914487838745117
2026-07-28T21:22:28.679,10.42.0.1,9,1785288146.1005414,1785288148.6796935,2.5791521072387695
2026-07-28T21:22:28.706,10.42.0.210,9,1785288146.1505127,1785288148.706465,2.555952310562134
2026-07-28T21:22:28.709,10.42.0.59,6,1785288146.1292403,1785288148.7095103,2.5802700519561768
2026-07-28T21:22:28.711,10.42.0.145,6,1785288146.1586752,1785288148.711648,2.5529727935791016
2026-07-28T21:22:28.716,10.42.0.18,9,1785288146.1359282,1785288148.716572,2.580643892288208
2026-07-28T21:22:28.754,10.42.0.47,9,1785288146.1320262,1785288148.7545702,2.622544050216675
2026-07-28T21:22:31.234,10.42.0.1,10,1785288148.6796935,1785288151.234028,2.5543346405029297
2026-07-28T21:22:31.264,10.42.0.59,7,1785288148.7095103,1785288151.2645943,2.555083990097046
2026-07-28T21:22:31.268,10.42.0.47,10,1785288148.7545702,1785288151.268405,2.5138347148895264
2026-07-28T21:22:31.272,10.42.0.210,10,1785288148.706465,1785288151.2724037,2.565938711166382
2026-07-28T21:22:31.284,10.42.0.18,10,1785288148.716572,1785288151.2846153,2.5680432319641113
