condition,FedAvg,Krum,Multi-Krum,Median,Trimmed-Mean,FLAME
Baseline,65.07,60.07,64.38,61.71,63.93,63.37
Sign Flip,61.71,52.39,60.57,60.75,61.69,64.15
Scale,65.49,62.71,65.58,65.08,64.52,64.75
Noise,66.48,63.35,64.73,65.00,64.64,62.33
Min-Max,59.66,39.65,59.86,59.80,57.62,62.60
Min-Sum,62.39,44.70,60.36,58.56,59.60,63.69
