component_run_id,experiment_id,run_id,file_timestamp,condition,defense,attack,raw_attack,model,dataset,repetition
analyzer:time_20260723_160552,exp_1784837155,,20260723_160552,exp1,,,,,,
proxy:time_20260723_160648,exp_1784837111,exp_1784837111,20260723_160648,exp1,trimmed_mean,envelope,min_sum,,,
analyzer:time_20260723_134930,exp_1784828975,,20260723_134930,exp1,,,,,,
proxy:time_20260723_135215,exp_1784829071,run_1784829071,20260723_135215,exp1,trimmed_mean,envelope,sign_flip,,,
analyzer:time_20260723_142132,exp_1784830896,,20260723_142132,exp1,,,,,,
proxy:time_20260723_142235,exp_1784830398,exp_1784830398,20260723_142235,exp1,trimmed_mean,envelope,scale,,,
analyzer:time_20260723_144946,exp_1784832590,,20260723_144946,exp1,,,,,,
proxy:time_20260723_145025,exp_1784832176,run_1784832176,20260723_145025,exp1,trimmed_mean,envelope,noise,,,
server:time_20260722_131002,exp_1784740202,run_1784740202,20260722_131002,multi_krum_run_01,multi_krum,,,,,
server:time_20260725_133158,exp_1785000718,run_1785000718,20260725_133158,fedavg_run_01,fedavg,,,,,
server:time_20260722_133309,exp_1784741589,run_1784741589,20260722_133309,multi_krum_run_01,multi_krum,,,,,
server:time_20260722_112338,exp_1784733818,run_1784733818,20260722_112338,fedavg_run_01,fedavg,,,,,
server:time_20260722_114948,exp_1784735388,run_1784735388,20260722_114948,fedavg_run_01,fedavg,,,,,
server:time_20260722_135858,exp_1784743138,run_1784743138,20260722_135858,median_run_01,median,,,,,
server:time_20260722_142452,exp_1784744692,run_1784744692,20260722_142452,median_run_01,median,,,,,
server:time_20260722_165520,exp_1784753720,run_1784753720,20260722_165520,flame_run_01,flame,,,,,
server:time_20260722_163012,exp_1784752212,run_1784752212,20260722_163012,flame_run_01,flame,,,,,
server:time_20260722_121716,exp_1784737036,run_1784737036,20260722_121716,krum_run_01,krum,,,,,
server:time_20260722_124232,exp_1784738552,run_1784738552,20260722_124232,krum_run_01,krum,,,,,
server:time_20260722_145431,exp_1784746471,run_1784746471,20260722_145431,trimmed_mean_run_01,trimmed_mean,,,,,
server:time_20260722_153321,exp_1784748801,run_1784748801,20260722_153321,trimmed_mean_run_01,trimmed_mean,,,,,
server:time_20260722_234529,exp_1784778329,run_1784778329,20260722_234529,multi_krum_run_01,multi_krum,,,,,
server:time_20260723_001204,exp_1784779924,run_1784779924,20260723_001204,fedavg_run_01,fedavg,,,,,
server:time_20260722_222225,exp_1784773345,run_1784773345,20260722_222225,multi_krum_run_01,multi_krum,,,,,
server:time_20260722_225403,exp_1784775243,run_1784775243,20260722_225403,multi_krum_run_01,multi_krum,,,,,
server:time_20260722_231943,exp_1784776783,run_1784776783,20260722_231943,multi_krum_run_01,multi_krum,,,,,
server:time_20260722_190943,exp_1784761783,run_1784761783,20260722_190943,fedavg_run_01,fedavg,,,,,
server:time_20260723_192317,exp_1784848997,run_1784848997,20260723_192317,fedavg_run_01,fedavg,,,,,
server:time_20260722_194427,exp_1784763867,run_1784763867,20260722_194427,fedavg_run_01,fedavg,,,,,
server:time_20260722_172514,exp_1784755514,run_1784755514,20260722_172514,fedavg_run_01,fedavg,,,,,
server:time_20260722_175244,exp_1784757164,run_1784757164,20260722_175244,fedavg_run_01,fedavg,,,,,
