timestamp,client_id,round,round_start,round_end,round_duration_s
2026-07-29T12:23:01.273,10.42.0.1,1,1785341877.0899105,1785342181.2732067,304.1832962036133
2026-07-29T12:23:01.319,10.42.0.18,1,1785341994.9567504,1785342181.3192246,186.36247420310974
2026-07-29T12:23:01.329,10.42.0.145,1,1785341905.2397475,1785342181.3292103,276.0894627571106
2026-07-29T12:23:01.367,10.42.0.59,1,1785341877.0064092,1785342181.36749,304.3610808849335
2026-07-29T12:23:01.391,10.42.0.47,1,1785342172.479846,1785342181.391856,8.912009954452515
2026-07-29T12:23:01.424,10.42.0.210,1,1785341877.5648134,1785342181.4244435,303.85963010787964
2026-07-29T12:23:08.941,10.42.0.1,2,1785342181.2732067,1785342188.941638,7.668431282043457
2026-07-29T12:23:08.996,10.42.0.210,2,1785342181.4244435,1785342188.9964533,7.572009801864624
2026-07-29T12:23:09.000,10.42.0.47,2,1785342181.391856,1785342189.000117,7.6082611083984375
2026-07-29T12:23:09.310,10.42.0.18,2,1785342181.3192246,1785342189.310973,7.991748332977295
2026-07-29T12:23:09.316,10.42.0.59,2,1785342181.36749,1785342189.3160856,7.9485955238342285
2026-07-29T12:23:09.319,10.42.0.145,2,1785342181.3292103,1785342189.3199747,7.990764379501343
2026-07-29T12:23:18.265,10.42.0.1,3,1785342188.941638,1785342198.2652988,9.323660850524902
2026-07-29T12:23:18.296,10.42.0.210,3,1785342188.9964533,1785342198.2966797,9.30022644996643
2026-07-29T12:23:18.348,10.42.0.59,3,1785342189.3160856,1785342198.3481328,9.032047271728516
2026-07-29T12:23:18.356,10.42.0.47,3,1785342189.000117,1785342198.356038,9.355921030044556
2026-07-29T12:23:18.357,10.42.0.18,3,1785342189.310973,1785342198.357834,9.046861171722412
2026-07-29T12:23:18.363,10.42.0.145,3,1785342189.3199747,1785342198.3635092,9.043534517288208
2026-07-29T12:23:27.380,10.42.0.1,4,1785342198.2652988,1785342207.3806067,9.115307807922363
2026-07-29T12:23:27.427,10.42.0.18,4,1785342198.357834,1785342207.4275665,9.069732427597046
2026-07-29T12:23:27.431,10.42.0.210,4,1785342198.2966797,1785342207.4319324,9.135252714157104
2026-07-29T12:23:27.550,10.42.0.59,4,1785342198.3481328,1785342207.5504305,9.202297687530518
2026-07-29T12:23:27.556,10.42.0.145,4,1785342198.3635092,1785342207.5562499,9.192740678787231
2026-07-29T12:23:27.629,10.42.0.47,4,1785342198.356038,1785342207.629424,9.273386001586914
2026-07-29T12:23:39.656,10.42.0.1,5,1785342207.3806067,1785342219.6566718,12.276065111160278
2026-07-29T12:23:39.732,10.42.0.18,5,1785342207.4275665,1785342219.7325268,12.304960250854492
2026-07-29T12:23:39.742,10.42.0.210,5,1785342207.4319324,1785342219.7425928,12.310660362243652
2026-07-29T12:23:39.756,10.42.0.59,5,1785342207.5504305,1785342219.7561574,12.205726861953735
2026-07-29T12:23:40.058,10.42.0.145,5,1785342207.5562499,1785342220.0588348,12.50258493423462
2026-07-29T12:23:41.196,10.42.0.47,5,1785342207.629424,1785342221.1961403,13.566716194152832
2026-07-29T12:23:52.393,10.42.0.1,6,1785342219.6566718,1785342232.3937204,12.737048625946045
2026-07-29T12:23:52.427,10.42.0.47,6,1785342221.1961403,1785342232.42708,11.230939626693726
2026-07-29T12:23:52.650,10.42.0.59,6,1785342219.7561574,1785342232.6505718,12.89441442489624
2026-07-29T12:23:52.752,10.42.0.18,6,1785342219.7325268,1785342232.7521496,13.019622802734375
2026-07-29T12:23:52.871,10.42.0.145,6,1785342220.0588348,1785342232.871249,12.812414169311523
2026-07-29T12:23:54.384,10.42.0.210,6,1785342219.7425928,1785342234.3841932,14.641600370407104
2026-07-29T12:24:01.234,10.42.0.1,7,1785342232.3937204,1785342241.234617,8.840896606445312
2026-07-29T12:24:01.266,10.42.0.210,7,1785342234.3841932,1785342241.2666285,6.882435321807861
2026-07-29T12:24:01.274,10.42.0.47,7,1785342232.42708,1785342241.2743864,8.847306489944458
2026-07-29T12:24:01.401,10.42.0.18,7,1785342232.7521496,1785342241.4012141,8.649064540863037
2026-07-29T12:24:01.403,10.42.0.59,7,1785342232.6505718,1785342241.4037883,8.75321650505066
2026-07-29T12:24:01.406,10.42.0.145,7,1785342232.871249,1785342241.406346,8.535097122192383
2026-07-29T12:24:10.434,10.42.0.1,8,1785342241.234617,1785342250.4342802,9.199663162231445
2026-07-29T12:24:10.461,10.42.0.47,8,1785342241.2743864,1785342250.461764,9.187377691268921
2026-07-29T12:24:10.761,10.42.0.18,8,1785342241.4012141,1785342250.7613904,9.36017632484436
2026-07-29T12:24:10.774,10.42.0.59,8,1785342241.4037883,1785342250.7746549,9.370866537094116
2026-07-29T12:24:10.783,10.42.0.145,8,1785342241.406346,1785342250.7837203,9.377374172210693
2026-07-29T12:24:12.346,10.42.0.210,8,1785342241.2666285,1785342252.3465226,11.079894065856934
2026-07-29T12:24:19.360,10.42.0.1,9,1785342250.4342802,1785342259.3607495,8.926469326019287
2026-07-29T12:24:19.418,10.42.0.47,9,1785342250.461764,1785342259.418606,8.956841945648193
2026-07-29T12:24:19.433,10.42.0.59,9,1785342250.7746549,1785342259.4331863,8.658531427383423
2026-07-29T12:24:19.436,10.42.0.145,9,1785342250.7837203,1785342259.4366853,8.652965068817139
2026-07-29T12:24:19.817,10.42.0.18,9,1785342250.7613904,1785342259.8176684,9.056277990341187
2026-07-29T12:24:20.269,10.42.0.210,9,1785342252.3465226,1785342260.2699049,7.92338228225708
2026-07-29T12:24:28.536,10.42.0.1,10,1785342259.3607495,1785342268.5366592,9.175909757614136
2026-07-29T12:24:28.584,10.42.0.145,10,1785342259.4366853,1785342268.5844421,9.147756814956665
2026-07-29T12:24:29.007,10.42.0.59,10,1785342259.4331863,1785342269.0078595,9.574673175811768
2026-07-29T12:24:29.112,10.42.0.47,10,1785342259.418606,1785342269.1121109,9.693504810333252
2026-07-29T12:24:29.619,10.42.0.18,10,1785342259.8176684,1785342269.6194205,9.801752090454102
2026-07-29T12:24:29.687,10.42.0.210,10,1785342260.2699049,1785342269.6876452,9.41774034500122
2026-07-29T12:24:37.939,10.42.0.1,11,1785342268.5366592,1785342277.9397936,9.4031343460083
2026-07-29T12:24:38.302,10.42.0.47,11,1785342269.1121109,1785342278.3022728,9.190161943435669
2026-07-29T12:24:38.309,10.42.0.18,11,1785342269.6194205,1785342278.3098557,8.69043517112732
2026-07-29T12:24:38.328,10.42.0.59,11,1785342269.0078595,1785342278.3286164,9.320756912231445
2026-07-29T12:24:38.338,10.42.0.145,11,1785342268.5844421,1785342278.3384273,9.753985166549683
2026-07-29T12:24:39.967,10.42.0.210,11,1785342269.6876452,1785342279.9670615,10.27941632270813
2026-07-29T12:24:45.935,10.42.0.1,12,1785342277.9397936,1785342285.9356043,7.9958107471466064
2026-07-29T12:24:45.951,10.42.0.210,12,1785342279.9670615,1785342285.9513776,5.984316110610962
2026-07-29T12:24:46.190,10.42.0.47,12,1785342278.3022728,1785342286.1906204,7.888347625732422
2026-07-29T12:24:46.191,10.42.0.18,12,1785342278.3098557,1785342286.1918366,7.881980895996094
2026-07-29T12:24:46.195,10.42.0.145,12,1785342278.3384273,1785342286.1958787,7.857451438903809
2026-07-29T12:24:46.208,10.42.0.59,12,1785342278.3286164,1785342286.2088468,7.88023042678833
2026-07-29T12:24:54.415,10.42.0.1,13,1785342285.9356043,1785342294.4157996,8.48019528388977
